epoch	lr	loss_train	loss_test	err_test	
191	0.00000	0.05511	0.02549	0.03019	
192	0.00000	0.05510	0.02672	0.03091	
193	0.00000	0.05512	0.02702	0.03106	
194	0.00000	0.05510	0.02558	0.03018	
195	0.00000	0.05510	0.02655	0.03068	
196	0.00000	0.05510	0.02674	0.03121	
197	0.00000	0.05510	0.02593	0.03016	
198	0.00000	0.05511	0.02765	0.03169	
199	0.00000	0.05514	0.02801	0.03179	
200	0.00000	0.05511	0.02579	0.03040	
